kaptCode,kaptName,kaptAddr,doroJuso,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,bjdCode,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode
A43702005,인스빌아파트,경기도 의왕시 왕곡동 592 인스빌아파트,경기도 의왕시 왕곡로 55,분양,개별난방,74272,8,504,(주)신안건설,신안건설,314550341,www.ensvil.net,아파트,위탁관리,계단식,19941025,314552994,504,68627.28,0,0,504,0,57665.04,4143010400,18,18,0,15,16064
A43773703,원효선경,경기도 의왕시 왕곡동 599 원효선경,경기도 의왕시 위인로 2,분양,개별난방,40268.46,4,406,선경건설,선경건설,314569041,원효선경.ma-um.co.kr,아파트,위탁관리,혼합식,19940324,314569042,406,35531.26,204,202,0,0,27296.82,4143010400,17,17,0,10,16068
A43773804,솔거,경기도 의왕시 왕곡동 600 솔거,경기도 의왕시 위인로 20,분양,개별난방,45686,3,498,(주)신명종합건설,(주)신명종합건설,314294188,의왕신명솔거아파트.ma-um.co.kr,아파트,위탁관리,혼합식,19940728,314294189,498,42701.46,252,246,0,0,32090.04,4143010400,18,18,0,9,16067
A43774102,포은,경기도 의왕시 왕곡동 602 포은,경기도 의왕시 위인로 15,분양,개별난방,39446,5,342,신안건설,신안건설,314593610,포은.ma-um.co.kr,아파트,위탁관리,계단식,19941221,313463610,342,36178.812,0,342,0,0,29044.98,4143010400,18,18,1,10,16067
A43774201,쌍용충무,경기도 의왕시 왕곡동 603 쌍용충무,경기도 의왕시 왕곡로 56,분양,개별난방,53416.64,4,332,쌍용건설,쌍용건설,314297507,쌍용충무.ma-um.co.kr,아파트,위탁관리,계단식,19940317,313462581,332,46322.88,0,0,332,0,38330.76,4143010400,18,18,0,10,16068
A10024246,의왕더샵캐슬아파트,경기도 의왕시 오전동 52 의왕더샵캐슬아파트,경기도 의왕시 어내들로 5,분양,개별난방,146519.7,8,941,"포스코건설,롯데건설",의왕시 오전가구역 주택재건축 정비사업조합,314299780,www.aptner.com,아파트,위탁관리,계단식,20210629,314299781,941,99264.19,290,599,52,0,74155.9839,4143010500,38,38,3,18,16046
A10025698,의왕서해그랑블,경기도 의왕시 오전동 892 의왕서해그랑블,경기도 의왕시 경수대로 262,분양,개별난방,172070.48,4,536,서해건설,서해건설,314279301,https://uwsgbs.aptner.com/v2,주상복합,위탁관리,계단식,20181122,314279303,536,64014.348,0,528,0,8,45939.54,4143010500,42,42,5,12,16058
A43707016,대명솔채,경기도 의왕시 오전동 887 대명솔채,경기도 의왕시 보식골로 17,분양,개별난방,59617.742,8,445,(주)대명종합건설,오전동대명제2차제1지역주택조합,314548842, ,아파트,위탁관리,계단식,20091106,314548843,445,47102.785,0,445,0,0,35968.197,4143010500,24,24,2,13,16051
A43772502,쌍용개나리,경기도 의왕시 오전동 856 쌍용개나리,경기도 의왕시 오전로 43,분양,개별난방,12524,2,166,쌍용건설,쌍용건설,314594822, ,아파트,위탁관리,계단식,19940729,314594822,166,12297.556,166,0,0,0,9207.58,4143010500,15,15,0,6,16062
A43772607,국화,경기도 의왕시 오전동 838-3 국화,경기도 의왕시 원골로 13,분양,개별난방,18459.607,2,220,(주)뉴서울주택건설,(주)뉴서울주택건설,314523928, ,아파트,위탁관리,혼합식,19941215,313463928,220,18459.607,112,108,0,0,14463.72,4143010500,18,18,1,2,16053
A43772723,의왕동백,경기도 의왕시 오전동 849 의왕동백,경기도 의왕시 오전로 150,분양,개별난방,127142,12,1074,"경남기업(주),화성산업(주),코오롱건설(주)","경남기업(주),화성산업(주),코오롱건설(주)",313427696,의왕동백.apti.co.kr,아파트,위탁관리,계단식,19951216,313467697,1074,114039.25,0,1074,0,0,91225.56,4143010500,19,19,0,30,16052
A43772811,목련,경기도 의왕시 오전동 842 목련,경기도 의왕시 오전로 163,분양,지역난방,31336.09,2,354,풍림산업(주),풍림산업(주),314570768, ,아파트,자치관리,혼합식,19941005,314270768,354,30327.48,180,174,0,0,22784.76,4143010500,18,18,1,7,16054
A43772917,벽산백합,경기도 의왕시 오전동 841 벽산백합,경기도 의왕시 오전로 179,분양,개별난방,44898.074,5,460,벽산건설,벽산건설,314533761,벽산백합.ma-um.co.kr,아파트,위탁관리,혼합식,19940329,314522218,466,41795.68,232,228,0,0,30924.72,4143010500,19,19,0,10,16054
A43773214,선경무궁화,경기도 의왕시 오전동 854-855 선경무궁화,경기도 의왕시 오전로 63,분양,개별난방,38475,4,370,선경건설,선경건설,314522810,선경무궁화.ma-um.co.kr,아파트,위탁관리,혼합식,19950830,314563690,370,37809.2,40,330,0,0,30037.05,4143010500,19,19,1,11,16057
A43773321,신안아파트,경기도 의왕시 오전동 216-1 신안아파트,경기도 의왕시 원골로 10,분양,개별난방,53434.3,3,576,신안건설,신안건설,314553153,의왕신안.apti.co.kr,아파트,위탁관리,혼합식,19911028,314295374,576,52164,0,576,0,0,42814.94,4143010500,15,15,1,10,16053
A43773420,오전진달래,경기도 의왕시 오전동 21 오전진달래,경기도 의왕시 호성로 48-7,분양,개별난방,75983.34,4,566,LG건설(주),LG건설(주),314525222, ,아파트,위탁관리,혼합식,19980427,314525393,566,57811.89,231,209,84,42,46902.24,4143010500,21,21,3,11,16044
